Player Name	Goals	Assist
Iker Casillas	0	0
Mats Hummels	0	0
Duje Ćaleta-Car	0	0
Paolo Maldini	0	0
Son Heung-min	4	2
Dani Parejo	0	4
N'Golo Kanté	0	0
Gareth Bale	1	3
Florian Wirtz	9	1
Donyell Malen	8	4
Sergio Agüero	9	8
Aaron Ramsdale	0	0
João Victor 	0	0
Frank Rijkaard	1	2
Konrad Laimer	0	2
Dani Olmo	0	0
Hans Hateboer	1	3
Alexander Isak	5	3
