Player Name	Goals	Assists
Péter Gulácsi	0	0
Leonardo Bonucci	0	0
Duje Ćaleta-Car	0	0
Alessio Romagnoli	0	0
Christian Pulisic	0	2
Sergej Milinković-Savić	1	1
Pep Guardiola	0	0
Andrés Iniesta	0	2
Angel Di María	0	0
Diego Maradona	0	3
Harry Kane	2	0
Mattia Perin	0	0
Jérôme Boateng	0	0
João Victor	0	0
Jordan Henderson	1	0
Ansu Fati	0	0
Rodrygo	1	0
Ciro Immobile	3	0
