Player Name	Goals	Assist
Marc-André ter Stegen	0	0
João Cancelo	0	1
Simon Kjær	0	0
Presnel Kimpembe	0	1
Leonardo Spinazzola	0	0
Nicolò Barella	0	4
Boubacar Kamara	0	0
Mohamed Salah	4	2
João Félix	4	5
Lorenzo Insigne	0	0
Zlatan Ibrahimović	1	0
Gianluigi Donnarumma	0	0
Eder Militão	0	1
Aaron Ramsey	2	1
Jamal Musiala	2	1
Bukayo Saka	0	2
Riyad Mahrez	2	1
Pierre-Emerick Aubameyang	11	4
Marco Asensio	0	0
André Silva	5	3
