Player Name	Goals	Assist
Iker Casillas	0	0
Trent Alexander-Arnold	2	4
Leonardo Bonucci	0	0
Giorgio Chiellini	0	0
Luca Pellegrini	0	0
Marco Verratti	0	2
Patrick Vieira	0	2
Nicolò Barella	0	2
Federico Chiesa	8	4
Ciro Immobile	8	1
Lorenzo Insigne	6	1
Gianluigi Donnarumma	0	0
Alessio Romagnoli	0	0
N'Golo Kanté	0	0
Toni Kroos	0	1
Raheem Sterling	5	2
Mason Greenwood	0	3
Filippo Inzaghi	11	6
Ferland Mendy	0	1
Aaron Ramsey	0	1
