Player Name	Goals	Assists
Ederson Santana de Moraes	0	0
Héctor Bellerín	0	3
Franz Beckenbauer	0	0
Duje Ćaleta-Car	1	0
João Cancelo	0	1
Paul Scholes	0	2
Manuel Locatelli	1	2
Dejan Kulusevski	5	9
Francesco Totti	15	13
Sadio Mané	10	5
Marcus Rashford	18	10
Mike Maignan	0	0
Niklas Süle	0	0
Nemanja Matić	1	0
Aaron Ramsey	0	1
Eden Hazard	1	1
Kingsley Coman	3	3
Rafael Leão	1	0
